	24	48	72
intensity	12501.0	22094.0	30260.0
runtime	0.12676	0.07092	0.05568
timestamp	(1583.62, 1710.38)	(3430.22, 3501.14)	(5151.0, 5206.68)
energy	5.229	5.171	5.56
